gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
4517,3,19760630,,I0003,NEXTERA ENERGY INC,NEE,753308
6742,3,19760630,,I0003,LINCOLN NATIONAL CORP,LNC,59558
7647,3,19760630,,I0003,BANK OF AMERICA CORP,BAC,70858
8007,3,19760630,,I0003,WELLS FARGO & CO,WFC,72971
3024,3,19760630,20160118,I0003,CHUBB CORP,CB.1,20171
3813,3,19761231,,I0003,TARGET CORP,TGT,27419
6008,3,19761231,,I0003,INTEL CORP,INTC,50863
7772,3,19761231,20110925,I0003,NATIONAL SEMICONDUCTOR CORP,NSM.2,70530
2845,3,19770331,20090818,I0003,CENTEX CORP,CTX.2,18532
2154,3,19780930,20141204,I0003,BEMIS CO INC,BMS,11199
10519,3,19781231,,I0003,TEXTRON INC,TXT,217346
10405,3,19781231,20150701,I0003,ALLEGHENY TECHNOLOGIES INC,ATI,1018963
7750,3,19790331,20160417,I0003,TENET HEALTHCARE CORP,THC,70318
11060,3,19790630,,I0003,VF CORP,VFC,103379
11264,3,19791231,,I0003,WALGREENS BOOTS ALLIANCE INC,WBA,1618921
1487,3,19800331,,I0003,AMERICAN INTERNATIONAL GROUP,AIG,5272
4818,3,19800331,,I0003,FLUOR CORP,FLR,1124198
4598,3,19801231,,I0003,FEDEX CORP,FDX,1048911
8253,3,19801231,,I0003,PACCAR INC,PCAR,75362
1891,3,19810331,,I0003,AUTOMATIC DATA PROCESSING,ADP,8670
5256,3,19810630,,I0003,GRAINGER (W W) INC,GWW,277135
7085,3,19810630,,I0003,MASCO CORP,MAS,62996
3336,3,19810630,20151130,I0003,DXC TECHNOLOGY COMPANY,DXC,1688568
1722,3,19810729,,I0003,ARCHER-DANIELS-MIDLAND CO,ADM,7084
9411,3,19810930,20120628,I0003,HILLSHIRE BRANDS CO,HSH,23666
7116,3,19820331,,I0003,MATTEL INC,MAT,63276
7267,3,19820630,20090101,I0003,MERRILL LYNCH & CO INC,BAC2,65100
11259,3,19820831,,I0003,WALMART INC,WMT,104169
9778,3,19820930,,I0003,SNAP-ON INC,SNA,91440
10016,3,19820930,,I0003,STANLEY BLACK & DECKER INC,SWK,93556
9217,3,19820930,20090401,I0003,ROHM AND HAAS CO,ROH,84792
2435,3,19821031,,I0003,BROWN FORMAN CORP,BF.B,14693
1690,3,19821130,,I0003,APPLE INC,AAPL,320193
8068,3,19821231,,I0003,OCCIDENTAL PETROLEUM CORP,OXY,797468
9299,3,19821231,20170618,I0003,RYDER SYSTEM INC,R,85961
3362,3,19830831,,I0003,CONAGRA BRANDS INC,CAG,23217
6733,3,19830930,,I0003,L BRANDS INC,LB,701985
2136,3,19831130,,I0003,VERIZON COMMUNICATIONS INC,VZ,732712
9899,3,19831130,,I0003,AT&T INC,T,732717
61489,3,19831130,20110331,I0003,QWEST COMMUNICATION INTL INC,Q.2,1037949
6829,3,19840229,,I0003,LOWE'S COMPANIES INC,LOW,60667
8823,3,19840430,,I0003,PULTEGROUP INC,PHM,822416
1380,3,19840531,,I0003,HESS CORP,HES,4447
1161,3,19840630,20130922,I0003,ADVANCED MICRO DEVICES,AMD,2488
6774,3,19840731,,I0003,LOCKHEED MARTIN CORP,LMT,936468
4040,3,19840731,20121211,I0003,DONNELLEY (R R) & SONS CO,RRD,29669
5518,3,19840930,,I0003,HASBRO INC,HAS,46080
1988,3,19841031,,I0003,BALL CORP,BLL,9389
6768,3,19841031,20081201,I0003,KATE SPADE & CO,KATE,352363
7866,3,19841130,20101219,I0003,NEW YORK TIMES CO  -CL A,NYT,71691
10190,3,19850131,20120430,I0003,SUPERVALU INC,SVU,95521
9258,3,19850131,20140818,I0003,ROWAN COMPANIES PLC,RDC,85408
1209,3,19850430,,I0003,AIR PRODUCTS & CHEMICALS INC,APD,2969
8030,3,19850430,,I0003,NUCOR CORP,NUE,73309
4145,3,19850531,,I0003,PERKINELMER INC,PKI,31791
7985,3,19850630,,I0003,NORTHROP GRUMMAN CORP,NOC,1133421
5742,3,19850731,,I0003,CENTERPOINT ENERGY INC,CNP,1130310
11672,3,19850930,,I0003,TJX COMPANIES INC,TJX,109198
4058,3,19851031,,I0003,DOVER CORP,DOV,29905
8358,3,19851130,,I0003,PARKER-HANNIFIN CORP,PH,76334
5878,3,19860228,,I0003,ILLINOIS TOOL WORKS,ITW,49826
6268,3,19860531,,I0003,JOHNSON CONTROLS INTL PLC,JCI,833444
4990,3,19860831,,I0003,GAP INC,GPS,39911
7922,3,19860831,,I0003,NORDSTROM INC,JWN,72333
7228,3,19861031,,I0003,MEDTRONIC PLC,MDT,1613103
2269,3,19861130,,I0003,BLOCK H & R INC,HRB,12659
10247,3,19861231,,I0003,SYSCO CORP,SYY,96021
10974,3,19870430,20090105,I0003,UST INC,UST.1,811669
3310,3,19870731,,I0003,CA INC,CA,356028
7065,3,19870831,,I0003,MARSH & MCLENNAN COS,MMC,62709
1913,3,19871231,,I0003,AVERY DENNISON CORP,AVY,8818
8304,3,19871231,20150830,I0003,PALL CORP,PLL,75829
5680,3,19880331,,I0003,HOME DEPOT INC,HD,354950
8245,3,19880430,,I0003,PNC FINANCIAL SVCS GROUP INC,PNC,713676
3243,3,19880531,,I0003,CITIGROUP INC,C,831001
10187,3,19880531,,I0003,SUNTRUST BANKS INC,STI,750556
7409,3,19880731,20100714,I0003,MILLIPORE CORP,MIL.2,66479
7906,3,19881130,,I0003,NIKE INC,NKE,320187
4213,3,19890131,,I0003,ECOLAB INC,ECL,31462
4739,3,19890228,20090101,I0003,WACHOVIA CORP,WB.3,36995
12689,3,19890331,20091220,I0003,KB HOME,KBH,795266
7875,3,19890430,,I0003,NEWELL BRANDS INC,NWL,814453
10614,3,19890430,,I0003,TORCHMARK CORP,TMK,320335
10787,3,19890731,20090316,I0003,TYCO INTERNATIONAL PLC,TYC,1608109
10984,3,19890731,20130708,I0003,SPRINT CORP,S,101830
12142,3,19890831,,I0003,ORACLE CORP,ORCL,1341439
7904,3,19890831,20111212,I0003,NICOR INC,GAS.2,72020
2783,3,19890831,20120701,I0003,PROGRESS ENERGY INC,DUK8,1094093
9372,3,19891130,20170104,I0003,ST JUDE MEDICAL INC,STJ,203077
1878,3,19891201,,I0003,AUTODESK INC,ADSK,769397
7017,3,19910501,,I0003,MARATHON OIL CORP,MRO,101778
23978,3,19910501,20140701,I0003,UNITED STATES STEEL CORP,X,1163302
10860,3,19910919,,I0003,AMEREN CORP,AEE,1002910
11910,3,19911001,20110427,I0003,NOVELL INC,NOVL,758004
1602,3,19920102,,I0003,AMGEN INC,AMGN,318154
15708,3,19920207,20150322,I0003,ALLERGAN INC,AGN.2,850693
25124,3,19920701,,I0003,PRAXAIR INC,PX,884905
12136,3,19920801,20100128,I0003,SUN MICROSYSTEMS INC,JAVA,709519
6136,3,19921001,,I0003,INTERPUBLIC GROUP OF COS,IPG,51644
29028,3,19931001,,I0003,COSTCO WHOLESALE CORP,COST,909832
20779,3,19931201,,I0003,CISCO SYSTEMS INC,CSCO,858877
29392,3,19940101,,I0003,EASTMAN CHEMICAL CO,EMN,915389
9783,3,19940301,,I0003,KEYCORP,KEY,91576
12726,3,19940301,,I0003,UNUM GROUP,UNM,5513
12141,3,19940601,,I0003,MICROSOFT CORP,MSFT,789019
9882,3,19940701,,I0003,SOUTHWEST AIRLINES,LUV,92380
10903,3,19940701,,I0003,UNITEDHEALTH GROUP INC,UNH,731766
13714,3,19940901,,I0003,CBS CORP,CBS,813828
9699,3,19940901,20151118,I0003,SIGMA-ALDRICH CORP,SIAL,90185
7343,3,19940927,,I0003,MICRON TECHNOLOGY INC,MU,723125
7711,3,19940927,20090101,I0003,NATIONAL CITY CORP,NCC,69970
25279,3,19950224,,I0003,BOSTON SCIENTIFIC CORP,BSX,885725
1704,3,19950316,,I0003,APPLIED MATERIALS INC,AMAT,6951
2019,3,19950331,,I0003,BANK OF NEW YORK MELLON CORP,BK,1390777
6781,3,19950510,,I0003,LOEWS CORP,L,60086
31846,3,19950530,,I0003,DARDEN RESTAURANTS INC,DRI,940944
10420,3,19950703,20111220,I0003,TELLABS INC,TLAB,317771
28349,3,19950713,,I0003,ALLSTATE CORP,ALL,899051
14590,3,19950731,,I0003,FREEPORT-MCMORAN INC,FCX,831259
12124,3,19950922,,I0003,MORGAN STANLEY,MS,895421
4611,3,19951108,,I0003,MACY'S INC,M,794367
8455,3,19951127,,I0003,PPL CORP,PPL,922224
3231,3,19951201,,I0003,COMERICA INC,CMA,28412
27914,3,19951201,,I0003,HUMANA INC,HUM,49071
6529,3,19951214,20140507,I0003,LSI CORP,LSI.1,703360
61739,3,19951220,,I0003,HARTFORD FINANCIAL SERVICES,HIG,874766
4640,3,19960308,,I0003,FIFTH THIRD BANCORP,FITB,35527
12053,3,19960328,20160907,I0003,EMC CORP/MA,EMC,790070
3221,3,19960423,,I0003,AON PLC,AON,315293
14489,3,19960906,20131028,I0003,DELL TECHNOLOGIES INC,7732B,1571996
63800,3,19961104,20100228,I0003,IMS HEALTH HOLDINGS INC,IMS,1595262
13561,3,19961203,20091220,I0003,MBIA INC,MBI,814585
10530,3,19970102,,I0003,THERMO FISHER SCIENTIFIC INC,TMO,97745
23809,3,19970102,,I0003,AUTOZONE INC,AZO,866787
12540,3,19970506,,I0003,ADOBE SYSTEMS INC,ADBE,796343
2751,3,19970527,,I0003,CARDINAL HEALTH INC,CAH,721371
13988,3,19970602,,I0003,SCHWAB (CHARLES) CORP,SCHW,316709
4423,3,19970619,,I0003,EQUIFAX INC,EFX,33185
1678,3,19970728,,I0003,APACHE CORP,APA,6769
11923,3,19970728,,I0003,ANADARKO PETROLEUM CORP,APC,773910
13341,3,19970804,,I0003,PROGRESSIVE CORP-OHIO,PGR,80661
5786,3,19970806,,I0003,HUNTINGTON BANCSHARES,HBAN,49196
10035,3,19970818,,I0003,STATE STREET CORP,STT,93751
6304,3,19970915,,I0003,KLA-TENCOR CORP,KLAC,319201
65417,3,19971007,,I0003,YUM BRANDS INC,YUM,1041061
11856,3,19971204,,I0003,BB&T CORP,BBT,92230
14824,3,19971218,,I0003,CINCINNATI FINANCIAL CORP,CINF,20286
4066,3,19971224,,I0003,OMNICOM GROUP,OMC,29989
12123,3,19980120,20130213,I0003,BIG LOTS INC,BIG,768835
7982,3,19980130,,I0003,NORTHERN TRUST CORP,NTRS,73124
9555,3,19980401,,I0003,SEALED AIR CORP,SEE,1012100
4885,3,19980429,,I0003,FRANKLIN RESOURCES INC,BEN,38777
28930,3,19980521,,I0003,MARRIOTT INTL INC,MAR,1048286
30990,3,19980701,,I0003,CAPITAL ONE FINANCIAL CORP,COF,927628
10121,3,19980701,20180604,I0003,NAVIENT CORP,NAVI,1593538
14477,3,19980717,,I0003,WASTE MANAGEMENT INC,WM,823768
25283,3,19980814,,I0003,KOHL'S CORP,KSS,885639
4674,3,19980828,,I0003,REGIONS FINANCIAL CORP,RF,1281761
8402,3,19981001,,I0003,PAYCHEX INC,PAYX,723531
14650,3,19981001,20130910,I0003,BMC SOFTWARE INC,BMC,835729
24216,3,19981002,,I0003,AES CORP,AES,874761
15521,3,19981007,20170917,I0003,STAPLES INC,SPLS,791519
12756,3,19981008,20160530,I0003,COCA-COLA EUROPEAN PARTNERS,CCE,1650107
9359,3,19981113,20150126,I0003,SAFEWAY INC,SWY,86144
3735,3,19981118,,I0003,DANAHER CORP,DHR,313616
13498,3,19981222,,I0003,CARNIVAL CORP/PLC (USA),CCL,815097
4723,3,19990104,,I0003,U S BANCORP,USB,36104
26011,3,19990104,20120102,I0003,COMPUWARE CORP,CPWR.1,859014
25056,3,19990104,20180619,I0003,TIME WARNER INC,TWX,1105705
7171,3,19990113,,I0003,MCKESSON CORP,MCK,927653
2884,3,19990325,,I0003,CENTURYLINK INC,CTL,18926
27845,3,19990412,,I0003,ALLERGAN PLC,AGN,1578845
3439,3,19990503,,I0003,CMS ENERGY CORP,CMS,811156
1449,3,19990528,,I0003,AFLAC INC,AFL,4977
14624,3,19990624,20101219,I0003,OFFICE DEPOT INC,ODP,800240
61591,3,19990625,,I0003,NETAPP INC,NTAP,1002047
2184,3,19990630,,I0003,BEST BUY CO INC,BBY,764478
11228,3,19990701,,I0003,VULCAN MATERIALS CO,VMC,1396009
24800,3,19990722,,I0003,QUALCOMM INC,QCOM,804328
22140,3,19990802,20081204,I0003,ALLIED WASTE INDUSTRIES INC,AW,848865
61552,3,19990813,20120930,I0003,LEXMARK INTL INC  -CL A,LXK,1001288
25338,3,19991001,20170725,I0003,BED BATH & BEYOND INC,BBBY,886158
1075,3,19991004,,I0003,PINNACLE WEST CAPITAL CORP,PNW,764622
1632,3,19991012,,I0003,ANALOG DEVICES,ADI,6281
12138,3,19991013,,I0003,PRICE (T. ROWE) GROUP,TROW,1113169
6649,3,19991018,,I0003,LEGGETT & PLATT INC,LEG,58492
4242,3,19991026,20120524,I0003,EL PASO CORP,EP,1066107
125533,3,19991105,20101116,I0003,PACTIV CORP,PTV,1089976
22325,3,19991108,,I0003,XILINX INC,XLNX,743988
10453,3,19991115,20131222,I0003,TERADYNE INC,TER,97210
61676,3,19991201,,I0003,CITRIX SYSTEMS INC,CTXS,877890
7506,3,19991201,20131209,I0003,MOLEX INC,MOLX,67472
62634,3,19991208,20170618,I0003,ALTABA INC,AABA,1011006
28338,3,19991231,20081218,I0003,TRANSOCEAN LTD,RIG,1451505
12389,3,20000131,,I0003,HARLEY-DAVIDSON INC,HOG,793952
12216,3,20000403,20170312,I0003,LINEAR TECHNOLOGY CORP,LLTC,791907
14324,3,20000418,20151228,I0003,ALTERA CORP,ALTR.1,768251
126554,3,20000605,,I0003,AGILENT TECHNOLOGIES INC,A,1090872
25434,3,20000608,,I0003,STARBUCKS CORP,SBUX,829224
113419,3,20000613,20091220,I0003,CONVERGYS CORP,CVG,1062047
14623,3,20000619,20120604,I0003,NOVELLUS SYSTEMS INC,NVLS.1,836106
13646,3,20000621,,I0003,TIFFANY & CO,TIF,98246
66708,3,20000703,20160131,I0003,BROADCOM CORP,BRCM,1054374
137232,3,20000713,20111122,I0003,JANUS CAPITAL GROUP INC,JNS,
29241,3,20000727,20131222,I0003,VIAVI SOLUTIONS INC,VIAV,912093
14934,3,20000830,,I0003,DEVON ENERGY CORP,DVN,1090012
139665,3,20001003,,I0003,MOODY'S CORP,MCO,1059556
25495,3,20001003,20091220,I0003,DYNEGY INC,DYN,1379895
112033,3,20001003,20101219,I0003,KING PHARMACEUTICALS INC,KG,1047699
1661,3,20001018,20150322,I0003,NABORS INDUSTRIES LTD,NBR,1163739
7974,3,20001102,,I0003,NISOURCE INC,NI,1111711
16478,3,20001102,,I0003,EOG RESOURCES INC,EOG,821189
5723,3,20001117,20160922,I0003,STARWOOD HOTELS&RESORTS WRLD,HOT,316206
4843,3,20001122,20140630,I0003,FOREST LABORATORIES  -CL A,FRX,38074
2312,3,20001205,,I0003,ROBERT HALF INTL INC,RHI,315213
27928,3,20001211,,I0003,INTUIT INC,INTU,896878
133768,3,20001211,,I0003,METLIFE INC,MET,1099219
1279,3,20001211,20110227,I0003,ALLEGHENY ENERGY INC,AYE,3673
10115,3,20001212,,I0003,STRYKER CORP,SYK,310764
29791,3,20001212,20110117,I0003,QLOGIC CORP,QLGC,918386
11925,3,20010116,20090326,I0003,NOBLE CORP PLC,NE,1458891
28195,3,20010130,20141104,I0003,JABIL INC,JBL,898293
135484,3,20010227,20170319,I0003,FRONTIER COMMUNICATIONS CORP,FTR,20520
3062,3,20010301,,I0003,CINTAS CORP,CTAS,723254
12635,3,20010402,,I0003,FISERV INC,FISV,798354
119417,3,20010514,20100228,I0003,PEPSI BOTTLING GROUP INC,PBG,1076405
64156,3,20010604,20111218,I0003,MONSTER WORLDWIDE INC,MWW,1020416
11687,3,20010625,,I0003,ZIONS BANCORPORATION,ZION,109380
144066,3,20010702,,I0003,ROCKWELL COLLINS INC,COL,1137411
4560,3,20010806,20150708,I0003,FAMILY DOLLAR STORES,FDO,34408
144559,3,20010807,,I0003,ZIMMER BIOMET HOLDINGS INC,ZBH,1136869
31673,3,20010830,,I0003,AMERISOURCEBERGEN CORP,ABC,1140859
64356,3,20010830,20091220,I0003,CIENA CORP,CIEN,936395
24318,3,20010904,,I0003,XL GROUP LTD,XL,875159
6097,3,20010904,20140622,I0003,INTL GAME TECHNOLOGY,IGT.1,353944
10277,3,20011010,20160630,I0003,TECO ENERGY INC,TE,350563
117768,3,20011130,,I0003,NVIDIA CORP,NVDA,1045810
28733,3,20011203,,I0003,EQUITY RESIDENTIAL,EQR,906107
12233,3,20011214,20110403,I0003,GENZYME CORP,GENZ,732485
24032,3,20011217,20090303,I0003,JONES GROUP INC,JNY,874016
61574,3,20020102,,I0003,WATERS CORP,WAT,1000697
15709,3,20020117,20160221,I0003,PLUM CREEK TIMBER CO INC,PCL,849213
7067,3,20020211,20110705,I0003,MARSHALL & ILSLEY CORP,MI.1,1399315
4737,3,20020506,20130623,I0003,FIRST HORIZON NATIONAL CORP,FHN,36966
22794,3,20020515,20100429,I0003,BJ SERVICES CO,BJS.1,864328
31122,3,20020515,20130630,I0003,APOLLO EDUCATION GROUP INC,APOL,929887
29389,3,20020626,,I0003,SIMON PROPERTY GROUP INC,SPG,1063761
10920,3,20020722,,I0003,UNITED PARCEL SERVICE INC,UPS,1090727
16721,3,20020722,,I0003,ELECTRONIC ARTS INC,EA,712515
114524,3,20020722,,I0003,EBAY INC,EBAY,1065088
114628,3,20020722,,I0003,GOLDMAN SACHS GROUP INC,GS,886982
143356,3,20020722,,I0003,PRUDENTIAL FINANCIAL INC,PRU,1137774
145701,3,20020722,,I0003,PRINCIPAL FINANCIAL GRP INC,PFG,1126328
145046,3,20020725,,I0003,ANTHEM INC,ANTM,1156039
140760,3,20020814,20180606,I0003,MONSANTO CO,MON,1110783
62689,3,20020821,,I0003,TRAVELERS COS INC,TRV,86312
120877,3,20020904,20170725,I0003,REYNOLDS AMERICAN INC,RAI,1275283
3226,3,20021119,,I0003,COMCAST CORP,CMCSA,1166691
64166,3,20021212,,I0003,QUEST DIAGNOSTICS INC,DGX,1022079
9063,3,20030224,20170807,I0003,AUTONATION INC,AN,350698
30490,3,20030314,,I0003,APARTMENT INVST & MGMT CO,AIV,922864
7146,3,20030321,,I0003,MCCORMICK & CO INC,MKC,63754
15855,3,20030331,,I0003,SYMANTEC CORP,SYMC,849399
66731,3,20030416,20130101,I0003,FEDERATED INVESTORS INC,FII,1056288
29984,3,20030717,,I0003,PROLOGIS INC,PLD,1045609
7186,3,20030820,20120403,I0003,MEDCO HEALTH SOLUTIONS INC,MHS,1170650
25356,3,20030926,,I0003,EXPRESS SCRIPTS HOLDING CO,ESRX,1532063
24468,3,20031113,,I0003,BIOGEN INC,BIIB,875045
4699,3,20040227,,I0003,M & T BANK CORP,MTB,36270
63501,3,20040401,,I0003,E TRADE FINANCIAL CORP,ETFC,1015780
30697,3,20040402,20100207,I0003,AFFILIATED COMPUTER SERVICES,ACS,2135
7637,3,20040423,,I0003,MYLAN NV,MYL,1623613
15247,3,20040429,,I0003,VALERO ENERGY CORP,VLO,1035002
160255,3,20040503,20150902,I0003,HOSPIRA INC,HSP,1274057
24856,3,20040701,,I0003,GILEAD SCIENCES INC,GILD,882095
17130,3,20040701,20090129,I0003,SANTANDER HOLDINGS USA INC,STD2,811830
140541,3,20040901,,I0003,TAPESTRY INC,TPR,1116132
149738,3,20041027,20090726,I0003,CIT GROUP INC,CIT,1171825
14960,3,20041101,,I0003,LABORATORY CP OF AMER HLDGS,LH,920148
110685,3,20041201,,I0003,L3 TECHNOLOGIES INC,LLL,1039101
12886,3,20041220,,I0003,TWENTY-FIRST CENTURY FOX INC,FOXA,1308161
28256,3,20041229,20100627,I0003,XTO ENERGY INC,XTO,868809
63892,3,20050314,,I0003,NATIONAL OILWELL VARCO INC,NOV,1021860
6307,3,20050328,20120904,I0003,SEARS HOLDINGS CORP,SHLD,1310067
2710,3,20050705,,I0003,CONSTELLATION BRANDS,STZ,16918
25340,3,20050705,,I0003,D R HORTON INC,DHI,882184
4367,3,20050722,20090225,I0003,WEATHERFORD INTL PLC,WFT,1603923
10793,3,20050811,,I0003,TYSON FOODS INC  -CL A,TSN,100493
11220,3,20050812,,I0003,VORNADO REALTY TRUST,VNO,899689
7620,3,20050815,20170725,I0003,MURPHY OIL CORP,MUR,717423
10096,3,20050819,,I0003,PUBLIC STORAGE,PSA,1393311
