gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
1581,3,19640331,20051120,I0003,AT&T CORP,T.2,5907
5134,3,19640331,20051219,I0003,GEORGIA-PACIFIC CORP,GP.1,41077
3734,3,19640331,20060302,I0003,DANA INC,DAN,26780
7139,3,19640331,20060402,I0003,MAYTAG CORP,MYG.1,63541
6081,3,19640331,20061219,I0003,NAVISTAR INTERNATIONAL CORP,NAV,808450
8470,3,19640331,20070221,I0003,PEOPLES ENERGY CORP,PGL.1,77385
8536,3,19640331,20070319,I0003,PHELPS DODGE CORP,PD,78066
10507,3,19640331,20071009,I0003,ENERGY FUTURE HOLDINGS CORP,0033A,1023291
11609,3,19640331,20081006,I0003,WRIGLEY (WM) JR CO,WWY,108601
2504,3,19640331,20081110,I0003,UNISYS CORP,UIS,746838
5589,3,19640331,20081113,I0003,HERCULES INC,HPC,46989
5073,3,19640331,20090602,I0003,GENERAL MOTORS CO,GM,1467858
5959,3,19640331,20090630,I0003,INGERSOLL-RAND PLC,IR,1466258
3497,3,19640331,20090908,I0003,COOPER INDUSTRIES PLC,CBE,1141982
1478,3,19640331,20091015,I0003,WYETH,WYE,5187
9459,3,19640331,20091103,I0003,SCHERING-PLOUGH,SGP,
2490,3,19640331,20100215,I0003,BURLINGTON NORTHERN SANTA FE,BRK3,934612
4194,3,19640331,20101219,I0003,EASTMAN KODAK CO,KODK,31235
5860,3,19640331,20111031,I0003,ITT INC,ITT,216228
1995,3,19640331,20120313,I0003,CONSTELLATION ENERGY GRP INC,CEG,1004440
5229,3,19640331,20120730,I0003,GOODRICH CORP,GR,42542
5568,3,19640331,20130606,I0003,KRAFT HEINZ CO,KHC,1637459
8446,3,19640331,20131201,I0003,PENNEY (J C) CO,JCP,1166126
1408,3,19640331,20140430,I0003,BEAM INC,BEAM,789073
11446,3,19640331,20150701,I0003,MEADWESTVACO CORP,MWV,1159297
1356,3,19640331,20161031,I0003,ALCOA INC,AA.3,
8606,3,19640331,20170228,I0003,PITNEY BOWES INC,PBI,78814
1976,3,19640331,20170704,I0003,BAKER HUGHES INC,BHI,808362
4087,3,19640331,20170831,I0003,DU PONT (E I) DE NEMOURS,DD,30554
9667,3,19640630,,I0003,SHERWIN-WILLIAMS CO,SHW,89800
10576,3,19640630,20010115,I0003,TIME WARNER INC-OLD,TWX.1,1021387
3650,3,19650331,,I0003,CUMMINS INC,CMI,26172
4321,3,19650331,,I0003,EMERSON ELECTRIC CO,EMR,32604
9465,3,19650331,,I0003,SCHLUMBERGER LTD,SLB,87347
10580,3,19651231,20000612,I0003,TIMES MIRROR CO  -SER A,TMC,925260
4189,3,19660930,20001101,I0003,EASTERN ENTERPRISES,EFU.1,311259
10391,3,19670331,20071115,I0003,TEKTRONIX INC,TEK.1,96879
1920,3,19670630,20150322,I0003,AVON PRODUCTS,AVP,8868
2574,3,19670930,,I0003,CSX CORP,CSX,277948
9963,3,19670930,20001211,I0003,SPRINGS INDUSTRIES  -CL A,SMI.1,93102
3851,3,19680331,20050818,I0003,DELTA AIR LINES INC,DAL,27904
2393,3,19680630,20010402,I0003,BRIGGS & STRATTON,BGG,14195
7260,3,19680630,20110103,I0003,MEREDITH CORP,MDP,65011
3121,3,19690331,,I0003,CLOROX CO/DE,CLX,21076
5071,3,19690331,,I0003,GENERAL MILLS INC,GIS,40704
10156,3,19690331,20121004,I0003,SUNOCO INC,SUN.1,95304
7881,3,19690630,,I0003,NEWMONT MINING CORP,NEM,1164727
3480,3,19690630,20010401,I0003,CERIDIAN CORP,4622B,1124887
7154,3,19700630,,I0003,MCDONALD'S CORP,MCD,63908
2917,3,19700630,20000618,I0003,CHAMPION INTERNATIONAL CORP,CHA.3,19150
8692,3,19700630,20010708,I0003,POTLATCHDELTIC CORP,PCH,1338749
5643,3,19700630,20071024,I0003,HILTON WORLDWIDE HOLDINGS,HLT,1585689
2290,3,19700630,20080622,I0003,OFFICEMAX INC,OMX,12978
6730,3,19701231,,I0003,LILLY (ELI) & CO,LLY,59478
1239,3,19710331,20061116,I0003,ALBERTO-CULVER CO,ACV.1,1368457
7152,3,19710930,20030819,I0003,MCDERMOTT INTL INC,MDR,708819
2086,3,19720930,,I0003,BAXTER INTERNATIONAL INC,BAX,10456
2111,3,19720930,,I0003,BECTON DICKINSON & CO,BDX,10795
2444,3,19730331,20080622,I0003,BRUNSWICK CORP,BC,14930
10332,3,19730331,20110630,I0003,RS LEGACY CORP,RSHCQ,96289
6266,3,19730630,,I0003,JOHNSON & JOHNSON,JNJ,200406
5125,3,19731231,,I0003,GENUINE PARTS CO,GPC,40987
4768,3,19740630,20000130,I0003,FLEETWOOD ENTERPRISES INC,FLTWQ,314132
5606,3,19741231,,I0003,HP INC,HPQ,47217
10540,3,19741231,20040802,I0003,THOMAS & BETTS CORP,TNB,97854
6821,3,19741231,20061109,I0003,LOUISIANA-PACIFIC CORP,LPX,60519
8488,3,19741231,20081123,I0003,APPLIED BIOSYSTEMS INC,ABI.3,77551
11506,3,19750331,,I0003,WILLIAMS COS INC,WMB,107263
6096,3,19750331,20001017,I0003,MALLINCKRODT INC,MKG,51396
2044,3,19750630,20180102,I0003,BARD (C.R.) INC,BCR,9892
9155,3,19751231,20000726,I0003,RITE AID CORP,RAD,84129
6475,3,19751231,20060627,I0003,KNIGHT-RIDDER INC,KRI,205520
4988,3,19751231,20170601,I0003,TEGNA INC,TGNA,39899
6078,3,19760331,,I0003,INTL FLAVORS & FRAGRANCES,IFF,51253
2255,3,19760331,20100314,I0003,BLACK & DECKER CORP,BDK,12355
1177,3,19760630,,I0003,AETNA INC,AET,1122304
1447,3,19760630,,I0003,AMERICAN EXPRESS CO,AXP,4962
2547,3,19760630,,I0003,CIGNA CORP,CI,701221
2968,3,19760630,,I0003,JPMORGAN CHASE & CO,JPM,19617
3505,3,19760630,,I0003,MOLSON COORS BREWING CO,TAP,24545
3980,3,19760630,,I0003,DISNEY (WALT) CO,DIS,1001039
4093,3,19760630,,I0003,DUKE ENERGY CORP,DUK,1326160
4517,3,19760630,,I0003,NEXTERA ENERGY INC,NEE,753308
6742,3,19760630,,I0003,LINCOLN NATIONAL CORP,LNC,59558
7647,3,19760630,,I0003,BANK OF AMERICA CORP,BAC,70858
8007,3,19760630,,I0003,WELLS FARGO & CO,WFC,72971
7562,3,19760630,20010101,I0003,MORGAN (J P) & CO,JPM.Z,68100
1465,3,19760630,20010829,I0003,AMERICAN GENERAL CORP,AGC.1,5103
9380,3,19760630,20040401,I0003,ST PAUL COS,SPC.2,
6241,3,19760630,20060402,I0003,JEFFERSON-PILOT CORP,JP.1,53347
7238,3,19760630,20070701,I0003,MELLON FINANCIAL CORP,MEL.3,64782
9351,3,19760630,20080922,I0003,SAFECO CORP,SAF,86104
1663,3,19760630,20081118,I0003,ANHEUSER-BUSCH COS INC,BUD.2,310569
3024,3,19760630,20160118,I0003,CHUBB CORP,CB.1,20171
3813,3,19761231,,I0003,TARGET CORP,TGT,27419
6008,3,19761231,,I0003,INTEL CORP,INTC,50863
7772,3,19761231,20110925,I0003,NATIONAL SEMICONDUCTOR CORP,NSM.2,70530
2845,3,19770331,20090818,I0003,CENTEX CORP,CTX.2,18532
4062,3,19780630,20071213,I0003,DOW JONES & CO INC,DJ,29924
2154,3,19780930,20141204,I0003,BEMIS CO INC,BMS,11199
10519,3,19781231,,I0003,TEXTRON INC,TXT,217346
10405,3,19781231,20150701,I0003,ALLEGHENY TECHNOLOGIES INC,ATI,1018963
7750,3,19790331,20160417,I0003,TENET HEALTHCARE CORP,THC,70318
11060,3,19790630,,I0003,VF CORP,VFC,103379
11264,3,19791231,,I0003,WALGREENS BOOTS ALLIANCE INC,WBA,1618921
4094,3,19791231,20001002,I0003,DUN & BRADSTREET CORP,DNB,1115222
1487,3,19800331,,I0003,AMERICAN INTERNATIONAL GROUP,AIG,5272
4818,3,19800331,,I0003,FLUOR CORP,FLR,1124198
11040,3,19800630,20000402,I0003,PHARMACIA & UPJOHN INC,PNU.1,949573
4598,3,19801231,,I0003,FEDEX CORP,FDX,1048911
8253,3,19801231,,I0003,PACCAR INC,PCAR,75362
7980,3,19801231,20020721,I0003,NORTEL NETWORKS CORP,NRTLQ,72911
1891,3,19810331,,I0003,AUTOMATIC DATA PROCESSING,ADP,8670
9483,3,19810331,20060226,I0003,SCIENTIFIC-ATLANTA INC,SFA.1,87777
5256,3,19810630,,I0003,GRAINGER (W W) INC,GWW,277135
7085,3,19810630,,I0003,MASCO CORP,MAS,62996
3336,3,19810630,20151130,I0003,DXC TECHNOLOGY COMPANY,DXC,1688568
1722,3,19810729,,I0003,ARCHER-DANIELS-MIDLAND CO,ADM,7084
5038,3,19810930,20010627,I0003,HARCOURT GENERAL INC,H.2,40493
9411,3,19810930,20120628,I0003,HILLSHIRE BRANDS CO,HSH,23666
7116,3,19820331,,I0003,MATTEL INC,MAT,63276
11366,3,19820331,20080929,I0003,WENDY'S INTERNATIONAL INC,WEN.2,105668
7267,3,19820630,20090101,I0003,MERRILL LYNCH & CO INC,BAC2,65100
11259,3,19820831,,I0003,WALMART INC,WMT,104169
9778,3,19820930,,I0003,SNAP-ON INC,SNA,91440
10016,3,19820930,,I0003,STANLEY BLACK & DECKER INC,SWK,93556
9217,3,19820930,20090401,I0003,ROHM AND HAAS CO,ROH,84792
2435,3,19821031,,I0003,BROWN FORMAN CORP,BF.B,14693
1690,3,19821130,,I0003,APPLE INC,AAPL,320193
8068,3,19821231,,I0003,OCCIDENTAL PETROLEUM CORP,OXY,797468
9299,3,19821231,20170618,I0003,RYDER SYSTEM INC,R,85961
4371,3,19830731,20060605,I0003,ENGELHARD CORP,EC.2,352947
3362,3,19830831,,I0003,CONAGRA BRANDS INC,CAG,23217
6733,3,19830930,,I0003,L BRANDS INC,LB,701985
10639,3,19830930,20050721,I0003,TOYS R US INC,1231B,1005414
2136,3,19831130,,I0003,VERIZON COMMUNICATIONS INC,VZ,732712
9899,3,19831130,,I0003,AT&T INC,T,732717
2146,3,19831130,20070103,I0003,BELLSOUTH CORP,BLS,732713
61489,3,19831130,20110331,I0003,QWEST COMMUNICATION INTL INC,Q.2,1037949
6829,3,19840229,,I0003,LOWE'S COMPANIES INC,LOW,60667
8823,3,19840430,,I0003,PULTEGROUP INC,PHM,822416
1380,3,19840531,,I0003,HESS CORP,HES,4447
1161,3,19840630,20130922,I0003,ADVANCED MICRO DEVICES,AMD,2488
6774,3,19840731,,I0003,LOCKHEED MARTIN CORP,LMT,936468
4040,3,19840731,20121211,I0003,DONNELLEY (R R) & SONS CO,RRD,29669
5518,3,19840930,,I0003,HASBRO INC,HAS,46080
1988,3,19841031,,I0003,BALL CORP,BLL,9389
9635,3,19841031,20000607,I0003,SHARED MEDICAL SYSTEMS CORP,SMS.2,89415
6403,3,19841031,20060810,I0003,KERR-MCGEE CORP,KMG.1,1141185
6768,3,19841031,20081201,I0003,KATE SPADE & CO,KATE,352363
9293,3,19841130,20001211,I0003,RUSSELL CORP,RML.1,85812
1240,3,19841130,20060601,I0003,ALBERTSON'S INC,ABS.1,3333
1651,3,19841130,20061001,I0003,ANDREW CORP,ANDW,317093
7866,3,19841130,20101219,I0003,NEW YORK TIMES CO  -CL A,NYT,71691
10190,3,19850131,20120430,I0003,SUPERVALU INC,SVU,95521
9258,3,19850131,20140818,I0003,ROWAN COMPANIES PLC,RDC,85408
1209,3,19850430,,I0003,AIR PRODUCTS & CHEMICALS INC,APD,2969
8030,3,19850430,,I0003,NUCOR CORP,NUE,73309
4145,3,19850531,,I0003,PERKINELMER INC,PKI,31791
3130,3,19850531,20010129,I0003,EL PASO CGP CO,EP2,21267
7985,3,19850630,,I0003,NORTHROP GRUMMAN CORP,NOC,1133421
5742,3,19850731,,I0003,CENTERPOINT ENERGY INC,CNP,1130310
11672,3,19850930,,I0003,TJX COMPANIES INC,TJX,109198
4058,3,19851031,,I0003,DOVER CORP,DOV,29905
8358,3,19851130,,I0003,PARKER-HANNIFIN CORP,PH,76334
6802,3,19851130,20010701,I0003,LONGS DRUG STORES CORP,LDG,764762
10726,3,19860131,20071220,I0003,TRIBUNE MEDIA CO,TRCO,726513
5878,3,19860228,,I0003,ILLINOIS TOOL WORKS,ITW,49826
3863,3,19860430,20041219,I0003,DELUXE CORP,DLX,27996
6268,3,19860531,,I0003,JOHNSON CONTROLS INTL PLC,JCI,833444
6226,3,19860531,20001123,I0003,FORT JAMES CORP,FJ,53117
2085,3,19860531,20071028,I0003,BAUSCH & LOMB HLDGS  -REDH,6583B,1416436
4990,3,19860831,,I0003,GAP INC,GPS,39911
7922,3,19860831,,I0003,NORDSTROM INC,JWN,72333
7228,3,19861031,,I0003,MEDTRONIC PLC,MDT,1613103
3964,3,19861031,20081021,I0003,DILLARDS INC  -CL A,DDS,28917
2269,3,19861130,,I0003,BLOCK H & R INC,HRB,12659
10247,3,19861231,,I0003,SYSCO CORP,SYY,96021
9611,3,19861231,20000315,I0003,SERVICE CORP INTERNATIONAL,SCI,89089
7773,3,19861231,20011202,I0003,NATIONAL SERVICE INDS INC,NSI.1,70538
10946,3,19861231,20020514,I0003,US AIRWAYS GROUP INC-OLD,3UAIRQ,
10426,3,19861231,20071230,I0003,TEMPLE-INLAND INC,TIN,731939
9004,3,19870131,20060131,I0003,REEBOK INTERNATIONAL LTD,RBK,770949
10974,3,19870430,20090105,I0003,UST INC,UST.1,811669
3310,3,19870731,,I0003,CA INC,CA,356028
7065,3,19870831,,I0003,MARSH & MCLENNAN COS,MMC,62709
8626,3,19870831,20020721,I0003,PLACER DOME INC,PDG,819996
1913,3,19871231,,I0003,AVERY DENNISON CORP,AVY,8818
8304,3,19871231,20150830,I0003,PALL CORP,PLL,75829
1246,3,19880229,20000628,I0003,IKON OFFICE SOLUTIONS,IKN,3370
3282,3,19880229,20020505,I0003,COMPAQ COMPUTER CORP,CPQ.2,714154
5680,3,19880331,,I0003,HOME DEPOT INC,HD,354950
8245,3,19880430,,I0003,PNC FINANCIAL SVCS GROUP INC,PNC,713676
1998,3,19880430,20040630,I0003,BANK ONE CORP,ONE.1,1067092
3243,3,19880531,,I0003,CITIGROUP INC,C,831001
10187,3,19880531,,I0003,SUNTRUST BANKS INC,STI,750556
5216,3,19880630,20061001,I0003,GOLDEN WEST FINANCIAL CORP,GDW,42293
11600,3,19880731,20041219,I0003,WORTHINGTON INDUSTRIES,WOR,108516
7409,3,19880731,20100714,I0003,MILLIPORE CORP,MIL.2,66479
4601,3,19880831,20080910,I0003,FANNIE MAE,FNMA,310522
7906,3,19881130,,I0003,NIKE INC,NKE,320187
4764,3,19881130,20040331,I0003,FLEETBOSTON FINANCIAL CORP,FBF,50341
4213,3,19890131,,I0003,ECOLAB INC,ECL,31462
4739,3,19890228,20090101,I0003,WACHOVIA CORP,WB.3,36995
12689,3,19890331,20091220,I0003,KB HOME,KBH,795266
7875,3,19890430,,I0003,NEWELL BRANDS INC,NWL,814453
10614,3,19890430,,I0003,TORCHMARK CORP,TMK,320335
3054,3,19890531,20080330,I0003,CIRCUIT CITY STORES INC,CCTYQ,104599
6288,3,19890731,20000509,I0003,JOSTENS INC,JOSEA,54050
10787,3,19890731,20090316,I0003,TYCO INTERNATIONAL PLC,TYC,1608109
10984,3,19890731,20130708,I0003,SPRINT CORP,S,101830
12142,3,19890831,,I0003,ORACLE CORP,ORCL,1341439
1794,3,19890831,20081113,I0003,ASHLAND GLOBAL HOLDINGS INC,ASH,1674862
7904,3,19890831,20111212,I0003,NICOR INC,GAS.2,72020
2783,3,19890831,20120701,I0003,PROGRESS ENERGY INC,DUK8,1094093
1468,3,19891031,20040502,I0003,AMERICAN GREETINGS  -CL A,AM.1,5133
9372,3,19891130,20170104,I0003,ST JUDE MEDICAL INC,STJ,203077
1878,3,19891201,,I0003,AUTODESK INC,ADSK,769397
20423,3,19900201,20080128,I0003,CAESARS ENTERTAINMENT CORP,CZR,858339
3502,3,19900501,20060717,I0003,COOPER TIRE & RUBBER CO,CTB,24491
8475,3,19900801,20000402,I0003,PEP BOYS-MANNY MOE & JACK,PBY,77449
2230,3,19900801,20070711,I0003,BIOMET INC,5938B,351346
1359,3,19901211,20010624,I0003,ALZA CORP,AZA.1,4310
7017,3,19910501,,I0003,MARATHON OIL CORP,MRO,101778
23978,3,19910501,20140701,I0003,UNITED STATES STEEL CORP,X,1163302
10860,3,19910919,,I0003,AMEREN CORP,AEE,1002910
11910,3,19911001,20110427,I0003,NOVELL INC,NOVL,758004
5306,3,19911101,20050704,I0003,GREAT LAKES CHEMICAL CORP,GLK.1,43362
1602,3,19920102,,I0003,AMGEN INC,AMGN,318154
15208,3,19920102,20080910,I0003,FEDERAL HOME LOAN MORTG CORP,FMCC,1026214
15708,3,19920207,20150322,I0003,ALLERGAN INC,AGN.2,850693
23592,3,19920401,20060102,I0003,MBNA CORP,KRB,870517
25124,3,19920701,,I0003,PRAXAIR INC,PX,884905
12136,3,19920801,20100128,I0003,SUN MICROSYSTEMS INC,JAVA,709519
6136,3,19921001,,I0003,INTERPUBLIC GROUP OF COS,IPG,51644
28701,3,19930801,20011212,I0003,RALSTON PURINA CO,RAL.,81870
22260,3,19930901,20061119,I0003,HCA HEALTHCARE INC,HCA,860730
29028,3,19931001,,I0003,COSTCO WHOLESALE CORP,COST,909832
11247,3,19931001,20010903,I0003,WACHOVIA CORP-OLD,WB.1,774203
2055,3,19931101,20020721,I0003,BARRICK GOLD CORP,ABX,756894
15084,3,19931101,20060402,I0003,BURLINGTON RESOURCES INC,BR.2,833320
20779,3,19931201,,I0003,CISCO SYSTEMS INC,CSCO,858877
3226,3,19931201,20021118,I0003,COMCAST CORP,CMCSA,1166691
29392,3,19940101,,I0003,EASTMAN CHEMICAL CO,EMN,915389
9783,3,19940301,,I0003,KEYCORP,KEY,91576
12726,3,19940301,,I0003,UNUM GROUP,UNM,5513
12141,3,19940601,,I0003,MICROSOFT CORP,MSFT,789019
9882,3,19940701,,I0003,SOUTHWEST AIRLINES,LUV,92380
10903,3,19940701,,I0003,UNITEDHEALTH GROUP INC,UNH,731766
13714,3,19940901,,I0003,CBS CORP,CBS,813828
9699,3,19940901,20151118,I0003,SIGMA-ALDRICH CORP,SIAL,90185
7343,3,19940927,,I0003,MICRON TECHNOLOGY INC,MU,723125
25157,3,19940927,20070924,I0003,FIRST DATA CORP,FDC,883980
7711,3,19940927,20090101,I0003,NATIONAL CITY CORP,NCC,69970
30865,3,19941025,20060402,I0003,CINERGY CORP,DUK6,899652
1318,3,19941221,20071118,I0003,ALLTEL CORP,AT.2,65873
12679,3,19950118,20000620,I0003,SILICON GRAPHICS INC,SGICQ,802301
5079,3,19950209,20011106,I0003,GPU INC,GPU.,40779
25279,3,19950224,,I0003,BOSTON SCIENTIFIC CORP,BSX,885725
1704,3,19950316,,I0003,APPLIED MATERIALS INC,AMAT,6951
2019,3,19950331,,I0003,BANK OF NEW YORK MELLON CORP,BK,1390777
3278,3,19950501,20060731,I0003,AVIS BUDGET GROUP INC,CAR,723612
6781,3,19950510,,I0003,LOEWS CORP,L,60086
15354,3,19950522,20010805,I0003,ENTERASYS NETWORKS INC,ETS,846909
31846,3,19950530,,I0003,DARDEN RESTAURANTS INC,DRI,940944
10420,3,19950703,20111220,I0003,TELLABS INC,TLAB,317771
9061,3,19950705,20000102,I0003,HSBC USA INC,HBC2,83246
28349,3,19950713,,I0003,ALLSTATE CORP,ALL,899051
14590,3,19950731,,I0003,FREEPORT-MCMORAN INC,FCX,831259
11502,3,19950818,20020210,I0003,WILLAMETTE INDUSTRIES,WLL.1,107189
12124,3,19950922,,I0003,MORGAN STANLEY,MS,895421
4682,3,19951023,20010226,I0003,U S BANCORP/DE-OLD,USB.1,
61464,3,19951101,20000615,I0003,MEDIAONE GROUP INC,UMG.Z,732718
4611,3,19951108,,I0003,MACY'S INC,M,794367
8455,3,19951127,,I0003,PPL CORP,PPL,922224
3231,3,19951201,,I0003,COMERICA INC,CMA,28412
27914,3,19951201,,I0003,HUMANA INC,HUM,49071
6529,3,19951214,20140507,I0003,LSI CORP,LSI.1,703360
61739,3,19951220,,I0003,HARTFORD FINANCIAL SERVICES,HIG,874766
10553,3,19960102,20000727,I0003,3COM CORP,COMS,738076
4640,3,19960308,,I0003,FIFTH THIRD BANCORP,FITB,35527
12053,3,19960328,20160907,I0003,EMC CORP/MA,EMC,790070
5063,3,19960401,20000105,I0003,GENERAL INSTRUMENT CORP,GIC.3,1035881
